رمز الشركة,أسم الشركة, القطاع
1010,بنك الرياض,البنوك
1020,بنك الجزيرة,البنوك
1030,البنك السعودي للإستثمار,البنوك
1050,البنك السعودي الفرنسي,البنوك
1060,البنك السعودي الأول,البنوك
1080,البنك العربي الوطني,البنوك
1111,شركة مجموعة تداول السعودية القابضة,الإستثمار والتمويل
1120,مصرف الراجحي,البنوك
1140,بنك البلاد,البنوك
1150,مصرف الإنماء,البنوك
1180,البنك الأهلي السعودي,البنوك
1182,شركة أملاك العالمية للتمويل,البنوك
1183,شركة سهل للتمويل,البنوك
1201,شركة تكوين المتطورة للصناعات,المواد الأساسية
1202,شركة الشرق الأوسط لصناعة وإنتاج الورق,المواد الأساسية
1210,شركة الصناعات الكيميائية الأساسية,المواد الأساسية
1211,شركة التعدين العربية السعودية,المواد الأساسية
1212,مجموعة أسترا الصناعية,السلع الرأسمالية
1213,شركة نسيج العالمية التجارية,السلع طويلة الاجل
1214,شركة الحسن غازي إبراهيم شاكر,تجزئة السلع الكمالية
1301,شركة إتحاد مصانع الأسلاك,المواد الأساسية
1302,شركة بوان,السلع الرأسمالية
1303,شركة الصناعات الكهربائية,السلع الرأسمالية
1304,شركة اليمامة للصناعات الحديدية,المواد الأساسية
1320,الشركة السعودية لأنابيب الصلب,المواد الأساسية
1321,شركة أنابيب الشرق المتكاملة للصناعة,المواد الأساسية
1322,شركة المصانع الكبرى للتعدين,المواد الأساسية
1810,مجموعة سيرا القابضة,الخدمات الإستهلاكية
1820,مجموعة عبدالمحسن الحكير للسياحة والتنمية,الخدمات الإستهلاكية
1830,شركة لجام للرياضة,الخدمات الإستهلاكية
1831,شركة مهارة للموارد البشرية,الخدمات التجارية والمهنية
1832,شركة صدر للخدمات اللوجستية,الخدمات التجارية والمهنية
1833,شركة الموارد للقوى البشرية,الخدمات التجارية والمهنية
2001,شركة كيمائيات الميثانول,المواد الأساسية
2010,الشركة السعودية للصناعات الأساسية,المواد الأساسية
2020,شركة سابك للمغذيات الزراعية,المواد الأساسية
2030,شركة المصافي العربية السعودية,الطاقة
2040,شركة الخزف السعودي,السلع الرأسمالية
2050,مجموعة صافولا,إنتاج الأغذية
2060,شركة التصنيع الوطنية,المواد الأساسية
2070,الشركة السعودية للصناعات الدوائية والمستلزمات الطبية,الادوية
2080,شركة الغاز والتصنيع الأهلية,المرافق العامة
2081,شركة الخريف لتقنية المياه والطاقة,المرافق العامة
2082,شركة أكوا باور,المرافق العامة
2083,شركة مرافق الكهرباء والمياه بالجبيل وينبع,المرافق العامة
2090,شركة الجبس الأهلية,المواد الأساسية
