Date,Adj Close.152,Close.152,High.152,Low.152,Open.152,Volume.152
2018-07-01,,,,,,
2018-07-02,,,,,,
2018-07-03,,,,,,
2018-07-04,,,,,,
2018-07-05,,,,,,
2018-07-08,,,,,,
2018-07-09,,,,,,
2018-07-10,,,,,,
2018-07-11,,,,,,
2018-07-12,,,,,,
2018-07-15,,,,,,
2018-07-16,,,,,,
2018-07-17,,,,,,
2018-07-18,,,,,,
2018-07-19,,,,,,
2018-07-22,,,,,,
2018-07-23,,,,,,
2018-07-24,,,,,,
2018-07-25,,,,,,
2018-07-26,,,,,,
2018-07-29,,,,,,
2018-07-30,,,,,,
2018-07-31,,,,,,
2018-08-01,,,,,,
2018-08-02,,,,,,
2018-08-05,,,,,,
2018-08-06,,,,,,
2018-08-07,,,,,,
2018-08-08,,,,,,
2018-08-09,,,,,,
2018-08-12,,,,,,
2018-08-13,,,,,,
2018-08-14,,,,,,
2018-08-15,,,,,,
2018-08-16,,,,,,
2018-08-19,,,,,,
2018-08-20,,,,,,
2018-08-21,,,,,,
2018-08-22,,,,,,
2018-08-23,,,,,,
2018-08-26,,,,,,
2018-08-27,,,,,,
2018-08-28,,,,,,
2018-08-29,,,,,,
2018-08-30,,,,,,
2018-09-02,,,,,,
2018-09-03,,,,,,
2018-09-04,,,,,,
2018-09-05,,,,,,
2018-09-06,,,,,,
2018-09-09,,,,,,
2018-09-10,,,,,,
2018-09-11,,,,,,
2018-09-12,,,,,,
2018-09-13,,,,,,
2018-09-16,,,,,,
2018-09-17,,,,,,
2018-09-18,,,,,,
2018-09-19,,,,,,
2018-09-20,,,,,,
2018-09-23,,,,,,
2018-09-24,,,,,,
2018-09-25,,,,,,
2018-09-26,,,,,,
2018-09-27,,,,,,
2018-09-30,,,,,,
2018-10-01,,,,,,
2018-10-02,,,,,,
2018-10-03,,,,,,
2018-10-04,,,,,,
2018-10-07,,,,,,
2018-10-08,,,,,,
2018-10-09,,,,,,
2018-10-10,,,,,,
2018-10-11,,,,,,
2018-10-14,,,,,,
2018-10-15,,,,,,
2018-10-16,,,,,,
2018-10-17,,,,,,
2018-10-18,,,,,,
2018-10-21,,,,,,
2018-10-22,,,,,,
2018-10-23,,,,,,
2018-10-24,,,,,,
2018-10-25,,,,,,
2018-10-28,,,,,,
2018-10-29,,,,,,
2018-10-30,,,,,,
2018-10-31,,,,,,
2018-11-01,,,,,,
2018-11-04,,,,,,
2018-11-05,,,,,,
2018-11-06,,,,,,
2018-11-07,,,,,,
2018-11-08,,,,,,
2018-11-11,,,,,,
2018-11-12,,,,,,
2018-11-13,,,,,,
2018-11-14,,,,,,
2018-11-15,,,,,,
2018-11-18,18.219324111938477,20.0,20.899999618530273,19.200000762939453,20.899999618530273,9122737.0
2018-11-19,17.709182739257812,19.440000534057617,20.719999313354492,19.440000534057617,20.5,4994125.0
2018-11-20,17.672744750976562,19.399999618530273,19.959999084472656,19.020000457763672,19.479999542236328,2113459.0
2018-11-21,17.76384162902832,19.5,19.719999313354492,19.31999969482422,19.420000076293945,927570.0
2018-11-22,18.711246490478516,20.540000915527344,21.440000534057617,19.420000076293945,19.479999542236328,5380100.0
2018-11-25,18.2375431060791,20.020000457763672,20.639999389648438,19.899999618530273,20.5,2772520.0
2018-11-26,17.873157501220703,19.6200008392334,20.31999969482422,19.559999465942383,20.040000915527344,1774643.0
2018-11-27,18.00069236755371,19.760000228881836,19.860000610351562,19.600000381469727,19.700000762939453,841324.0
2018-11-28,18.09178924560547,19.860000610351562,20.1200008392334,19.700000762939453,19.799999237060547,1167734.0
2018-11-29,17.946035385131836,19.700000762939453,20.100000381469727,19.65999984741211,19.860000610351562,1049156.0
2018-12-02,17.63630485534668,19.360000610351562,19.520000457763672,19.020000457763672,19.399999618530273,1497361.0
2018-12-03,17.782060623168945,19.520000457763672,19.81999969482422,19.399999618530273,19.420000076293945,1167129.0
2018-12-04,17.946035385131836,19.700000762939453,19.700000762939453,19.520000457763672,19.6200008392334,1003566.0
2018-12-05,17.873157501220703,19.6200008392334,19.760000228881836,19.5,19.639999389648438,532175.0
2018-12-06,17.782060623168945,19.520000457763672,19.719999313354492,19.420000076293945,19.600000381469727,511863.0
2018-12-09,17.709182739257812,19.440000534057617,19.559999465942383,19.399999618530273,19.520000457763672,403788.0
2018-12-10,17.982473373413086,19.739999771118164,19.81999969482422,19.360000610351562,19.440000534057617,558792.0
2018-12-11,18.128225326538086,19.899999618530273,20.600000381469727,19.65999984741211,19.780000686645508,2334383.0
2018-12-12,18.219324111938477,20.0,20.200000762939453,19.8799991607666,19.899999618530273,449512.0
2018-12-13,18.310420989990234,20.100000381469727,20.18000030517578,19.81999969482422,19.920000076293945,535839.0
2018-12-16,18.310420989990234,20.100000381469727,20.299999237060547,19.899999618530273,20.100000381469727,565612.0
2018-12-17,18.2375431060791,20.020000457763672,20.34000015258789,20.0,20.1200008392334,550574.0
2018-12-18,18.2375431060791,20.020000457763672,20.020000457763672,19.860000610351562,20.0,407097.0
2018-12-19,18.9663143157959,20.81999969482422,21.200000762939453,19.920000076293945,19.959999084472656,1821974.0
2018-12-20,18.674806594848633,20.5,21.280000686645508,20.3799991607666,20.959999084472656,1279944.0
2018-12-23,19.29426383972168,21.18000030517578,21.579999923706055,20.0,20.0,1657423.0
2018-12-24,19.312482833862305,21.200000762939453,21.34000015258789,20.84000015258789,21.299999237060547,1027141.0
2018-12-25,19.276042938232422,21.15999984741211,21.15999984741211,20.6200008392334,20.700000762939453,593882.0
2018-12-26,19.112070083618164,20.979999542236328,21.260000228881836,20.899999618530273,21.200000762939453,713514.0
2018-12-27,19.29426383972168,21.18000030517578,21.200000762939453,20.899999618530273,21.100000381469727,288665.0
2018-12-30,19.950159072875977,21.899999618530273,22.040000915527344,21.079999923706055,21.18000030517578,1099044.0
2018-12-31,20.606056213378906,22.6200008392334,22.8799991607666,21.899999618530273,22.0,1065250.0
2019-01-01,20.205228805541992,22.18000030517578,22.799999237060547,22.100000381469727,22.600000381469727,548273.0
2019-01-02,20.58783531188965,22.600000381469727,22.920000076293945,22.0,22.219999313354492,380434.0
2019-01-03,20.6242733001709,22.639999389648438,22.979999542236328,22.440000534057617,22.5,646159.0
2019-01-06,20.478519439697266,22.479999542236328,23.0,22.299999237060547,22.780000686645508,413710.0
2019-01-07,20.496740341186523,22.5,22.8799991607666,22.31999969482422,22.360000610351562,402364.0
2019-01-08,19.85906219482422,21.799999237060547,22.81999969482422,21.799999237060547,22.520000457763672,741251.0
2019-01-09,19.8955020904541,21.84000015258789,22.040000915527344,21.719999313354492,21.81999969482422,230439.0
2019-01-10,19.85906219482422,21.799999237060547,22.479999542236328,21.780000686645508,22.200000762939453,421800.0
2019-01-13,19.676870346069336,21.600000381469727,21.959999084472656,21.540000915527344,21.899999618530273,188527.0
2019-01-14,19.93193817138672,21.8799991607666,22.020000457763672,21.5,21.600000381469727,270763.0
2019-01-15,19.93193817138672,21.8799991607666,22.280000686645508,21.799999237060547,21.899999618530273,291609.0
2019-01-16,19.73152732849121,21.65999984741211,22.0,21.6200008392334,22.0,214908.0
2019-01-17,19.93193817138672,21.8799991607666,21.8799991607666,21.600000381469727,21.600000381469727,177090.0
2019-01-20,20.023035049438477,21.979999542236328,22.0,21.639999389648438,21.760000228881836,133424.0
2019-01-21,20.150571823120117,22.1200008392334,22.219999313354492,21.780000686645508,21.780000686645508,156887.0
2019-01-22,19.950159072875977,21.899999618530273,22.299999237060547,21.84000015258789,22.299999237060547,633753.0
2019-01-23,20.041255950927734,22.0,22.059999465942383,21.81999969482422,21.920000076293945,136004.0
2019-01-24,20.041255950927734,22.0,22.139999389648438,21.940000534057617,21.959999084472656,107259.0
2019-01-27,20.09591293334961,22.059999465942383,22.1200008392334,21.979999542236328,22.0,196318.0
2019-01-28,20.05947494506836,22.020000457763672,22.040000915527344,21.979999542236328,22.0,130189.0
2019-01-29,20.2598876953125,22.239999771118164,22.299999237060547,22.020000457763672,22.100000381469727,170930.0
2019-01-30,20.187009811401367,22.15999984741211,22.280000686645508,22.0,22.239999771118164,219481.0
2019-01-31,20.132354736328125,22.100000381469727,22.100000381469727,22.0,22.079999923706055,103179.0
2019-02-03,20.041255950927734,22.0,22.15999984741211,22.0,22.139999389648438,54301.0
2019-02-04,20.041255950927734,22.0,22.040000915527344,22.0,22.040000915527344,50861.0
2019-02-05,20.041255950927734,22.0,22.100000381469727,21.979999542236328,22.0,78983.0
2019-02-06,20.114133834838867,22.079999923706055,22.100000381469727,22.0,22.0,137490.0
2019-02-07,20.041255950927734,22.0,22.020000457763672,21.899999618530273,22.0,92053.0
2019-02-10,20.041255950927734,22.0,22.0,21.799999237060547,21.899999618530273,111729.0
2019-02-11,20.041255950927734,22.0,22.0,21.920000076293945,21.920000076293945,22310.0
2019-02-12,20.05947494506836,22.020000457763672,22.020000457763672,22.0,22.0,69531.0
2019-02-13,20.041255950927734,22.0,22.100000381469727,22.0,22.020000457763672,53212.0
2019-02-14,20.05947494506836,22.020000457763672,22.100000381469727,22.0,22.0,53820.0
2019-02-17,20.150571823120117,22.1200008392334,22.5,22.0,22.040000915527344,52544.0
2019-02-18,20.187009811401367,22.15999984741211,22.15999984741211,22.020000457763672,22.1200008392334,33613.0
2019-02-19,20.114133834838867,22.079999923706055,22.139999389648438,22.059999465942383,22.139999389648438,31040.0
2019-02-20,20.077695846557617,22.040000915527344,22.200000762939453,22.020000457763672,22.020000457763672,29308.0
2019-02-21,20.504486083984375,22.100000381469727,22.100000381469727,21.979999542236328,22.040000915527344,88919.0
2019-02-24,20.411705017089844,22.0,22.040000915527344,21.979999542236328,22.040000915527344,35058.0
2019-02-25,20.411705017089844,22.0,22.0,21.799999237060547,22.0,63065.0
2019-02-26,20.411705017089844,22.0,22.139999389648438,21.920000076293945,22.059999465942383,52116.0
2019-02-27,20.411705017089844,22.0,22.139999389648438,21.959999084472656,22.0,62015.0
2019-02-28,20.578710556030273,22.18000030517578,22.3799991607666,22.0,22.020000457763672,112828.0
2019-03-03,20.504486083984375,22.100000381469727,22.31999969482422,22.020000457763672,22.040000915527344,100983.0
2019-03-04,21.228172302246094,22.8799991607666,22.940000534057617,22.059999465942383,22.100000381469727,397282.0
2019-03-05,21.933303833007812,23.639999389648438,23.940000534057617,22.559999465942383,22.799999237060547,940444.0
2019-03-06,21.859081268310547,23.559999465942383,23.799999237060547,23.299999237060547,23.540000915527344,264820.0
2019-03-07,21.506515502929688,23.18000030517578,23.540000915527344,23.0,23.540000915527344,332639.0
2019-03-10,21.228172302246094,22.8799991607666,23.18000030517578,22.799999237060547,23.020000457763672,206172.0
2019-03-11,21.43229103088379,23.100000381469727,23.520000457763672,22.579999923706055,22.6200008392334,307423.0
2019-03-12,21.116836547851562,22.760000228881836,23.479999542236328,22.719999313354492,23.100000381469727,175718.0
2019-03-13,21.209617614746094,22.860000610351562,23.479999542236328,22.700000762939453,22.799999237060547,542795.0
2019-03-14,20.912721633911133,22.540000915527344,22.899999618530273,22.5,22.84000015258789,373609.0
2019-03-17,20.931272506713867,22.559999465942383,22.780000686645508,22.299999237060547,22.5,130774.0
