Date,Adj Close.196,Close.196,High.196,Low.196,Open.196,Volume.196
2018-07-01,,,,,,
2018-07-02,,,,,,
2018-07-03,,,,,,
2018-07-04,,,,,,
2018-07-05,,,,,,
2018-07-08,,,,,,
2018-07-09,,,,,,
2018-07-10,,,,,,
2018-07-11,,,,,,
2018-07-12,,,,,,
2018-07-15,,,,,,
2018-07-16,,,,,,
2018-07-17,,,,,,
2018-07-18,,,,,,
2018-07-19,,,,,,
2018-07-22,,,,,,
2018-07-23,,,,,,
2018-07-24,,,,,,
2018-07-25,,,,,,
2018-07-26,,,,,,
2018-07-29,,,,,,
2018-07-30,,,,,,
2018-07-31,,,,,,
2018-08-01,,,,,,
2018-08-02,,,,,,
2018-08-05,,,,,,
2018-08-06,,,,,,
2018-08-07,,,,,,
2018-08-08,,,,,,
2018-08-09,,,,,,
2018-08-12,,,,,,
2018-08-13,,,,,,
2018-08-14,,,,,,
2018-08-15,,,,,,
2018-08-16,,,,,,
2018-08-19,,,,,,
2018-08-20,,,,,,
2018-08-21,,,,,,
2018-08-22,,,,,,
2018-08-23,,,,,,
2018-08-26,,,,,,
2018-08-27,,,,,,
2018-08-28,,,,,,
2018-08-29,,,,,,
2018-08-30,,,,,,
2018-09-02,,,,,,
2018-09-03,,,,,,
2018-09-04,,,,,,
2018-09-05,,,,,,
2018-09-06,,,,,,
2018-09-09,,,,,,
2018-09-10,,,,,,
2018-09-11,,,,,,
2018-09-12,,,,,,
2018-09-13,,,,,,
2018-09-16,,,,,,
2018-09-17,,,,,,
2018-09-18,,,,,,
2018-09-19,,,,,,
2018-09-20,,,,,,
2018-09-23,,,,,,
2018-09-24,,,,,,
2018-09-25,,,,,,
2018-09-26,,,,,,
2018-09-27,,,,,,
2018-09-30,,,,,,
2018-10-01,,,,,,
2018-10-02,,,,,,
2018-10-03,,,,,,
2018-10-04,,,,,,
2018-10-07,,,,,,
2018-10-08,,,,,,
2018-10-09,,,,,,
2018-10-10,,,,,,
2018-10-11,,,,,,
2018-10-14,,,,,,
2018-10-15,,,,,,
2018-10-16,,,,,,
2018-10-17,,,,,,
2018-10-18,,,,,,
2018-10-21,,,,,,
2018-10-22,,,,,,
2018-10-23,,,,,,
2018-10-24,,,,,,
2018-10-25,,,,,,
2018-10-28,,,,,,
2018-10-29,,,,,,
2018-10-30,,,,,,
2018-10-31,,,,,,
2018-11-01,,,,,,
2018-11-04,,,,,,
2018-11-05,,,,,,
2018-11-06,,,,,,
2018-11-07,,,,,,
2018-11-08,,,,,,
2018-11-11,,,,,,
2018-11-12,,,,,,
2018-11-13,,,,,,
2018-11-14,,,,,,
2018-11-15,,,,,,
2018-11-18,,,,,,
2018-11-19,,,,,,
2018-11-20,,,,,,
2018-11-21,,,,,,
2018-11-22,,,,,,
2018-11-25,,,,,,
2018-11-26,,,,,,
2018-11-27,,,,,,
2018-11-28,,,,,,
2018-11-29,,,,,,
2018-12-02,,,,,,
2018-12-03,,,,,,
2018-12-04,,,,,,
2018-12-05,,,,,,
2018-12-06,,,,,,
2018-12-09,,,,,,
2018-12-10,,,,,,
2018-12-11,,,,,,
2018-12-12,,,,,,
2018-12-13,,,,,,
2018-12-16,,,,,,
2018-12-17,,,,,,
2018-12-18,,,,,,
2018-12-19,,,,,,
2018-12-20,,,,,,
2018-12-23,,,,,,
2018-12-24,,,,,,
2018-12-25,,,,,,
2018-12-26,,,,,,
2018-12-27,,,,,,
2018-12-30,,,,,,
2018-12-31,,,,,,
2019-01-01,,,,,,
2019-01-02,,,,,,
2019-01-03,,,,,,
2019-01-06,,,,,,
2019-01-07,,,,,,
2019-01-08,,,,,,
2019-01-09,,,,,,
2019-01-10,,,,,,
2019-01-13,,,,,,
2019-01-14,,,,,,
2019-01-15,,,,,,
2019-01-16,,,,,,
2019-01-17,,,,,,
2019-01-20,,,,,,
2019-01-21,,,,,,
2019-01-22,,,,,,
2019-01-23,,,,,,
2019-01-24,,,,,,
2019-01-27,,,,,,
2019-01-28,,,,,,
2019-01-29,,,,,,
2019-01-30,,,,,,
2019-01-31,,,,,,
2019-02-03,,,,,,
2019-02-04,,,,,,
2019-02-05,,,,,,
2019-02-06,,,,,,
2019-02-07,,,,,,
2019-02-10,,,,,,
2019-02-11,,,,,,
2019-02-12,,,,,,
2019-02-13,,,,,,
2019-02-14,,,,,,
2019-02-17,,,,,,
2019-02-18,,,,,,
2019-02-19,,,,,,
2019-02-20,,,,,,
2019-02-21,,,,,,
2019-02-24,,,,,,
2019-02-25,,,,,,
2019-02-26,,,,,,
2019-02-27,,,,,,
2019-02-28,,,,,,
2019-03-03,,,,,,
2019-03-04,,,,,,
2019-03-05,,,,,,
2019-03-06,,,,,,
2019-03-07,,,,,,
2019-03-10,,,,,,
2019-03-11,,,,,,
2019-03-12,,,,,,
2019-03-13,,,,,,
2019-03-14,,,,,,
2019-03-17,,,,,,
2019-03-18,,,,,,
2019-03-19,,,,,,
2019-03-20,,,,,,
2019-03-21,,,,,,
2019-03-24,,,,,,
2019-03-25,,,,,,
2019-03-26,,,,,,
2019-03-27,,,,,,
2019-03-28,,,,,,
2019-03-31,,,,,,
2019-04-01,,,,,,
2019-04-02,,,,,,
2019-04-03,,,,,,
2019-04-04,,,,,,
2019-04-07,,,,,,
2019-04-08,,,,,,
2019-04-09,,,,,,
2019-04-10,,,,,,
2019-04-11,,,,,,
2019-04-14,,,,,,
2019-04-15,,,,,,
2019-04-16,,,,,,
2019-04-17,,,,,,
2019-04-18,,,,,,
2019-04-21,,,,,,
2019-04-22,,,,,,
2019-04-23,,,,,,
2019-04-24,22.56554412841797,25.17333221435547,26.399999618530273,25.066665649414062,25.600000381469727,4015700.0
2019-04-25,22.58945083618164,25.200000762939453,25.520000457763672,24.8799991607666,25.093332290649414,1928934.0
2019-04-28,22.58945083618164,25.200000762939453,25.280000686645508,24.8799991607666,25.200000762939453,693268.0
2019-04-29,24.52569007873535,27.360000610351562,27.68000030517578,25.040000915527344,25.17333221435547,3947255.0
2019-04-30,25.242815017700195,28.15999984741211,28.639999389648438,26.8799991607666,27.520000457763672,2886943.0
2019-05-01,24.812538146972656,27.68000030517578,28.479999542236328,27.253332138061523,28.266666412353516,2242593.0
2019-05-02,24.52569007873535,27.360000610351562,28.213333129882812,27.200000762939453,27.466665267944336,1606561.0
2019-05-05,24.23883819580078,27.040000915527344,27.733333587646484,26.986665725708008,27.306665420532227,801931.0
2019-05-06,24.047603607177734,26.8266658782959,27.200000762939453,26.66666603088379,27.040000915527344,657307.0
2019-05-07,24.86034393310547,27.733333587646484,28.426666259765625,27.360000610351562,27.893333435058594,2294098.0
2019-05-08,24.38226318359375,27.200000762939453,28.0,27.200000762939453,27.573333740234375,707990.0
2019-05-09,23.856369018554688,26.613332748413086,27.520000457763672,26.50666618347168,27.306665420532227,466278.0
2019-05-12,23.35438346862793,26.053333282470703,26.719999313354492,25.68000030517578,26.66666603088379,570163.0
2019-05-13,22.995820999145508,25.65333366394043,26.293333053588867,25.626665115356445,25.65333366394043,560651.0
2019-05-14,22.015748977661133,24.559999465942383,26.133333206176758,24.53333282470703,25.600000381469727,728463.0
2019-05-15,22.6850643157959,25.306665420532227,25.573333740234375,25.066665649414062,25.38666534423828,365630.0
2019-05-16,23.25876808166504,25.946666717529297,26.02666664123535,25.066665649414062,25.333332061767578,402118.0
2019-05-19,22.948013305664062,25.600000381469727,26.773332595825195,25.280000686645508,25.920000076293945,704058.0
2019-05-20,22.278696060180664,24.85333251953125,25.65333366394043,24.85333251953125,25.440000534057617,363384.0
2019-05-21,22.422121047973633,25.01333236694336,25.333332061767578,24.933332443237305,25.066665649414062,574327.0
2019-05-22,22.30259895324707,24.8799991607666,25.17333221435547,24.8799991607666,25.17333221435547,369211.0
2019-05-23,22.039653778076172,24.586666107177734,24.959999084472656,24.53333282470703,24.8266658782959,184486.0
2019-05-26,21.84842300415039,24.373332977294922,24.613332748413086,24.31999969482422,24.613332748413086,156688.0
2019-05-27,22.18307876586914,24.746665954589844,24.906665802001953,24.0,24.613332748413086,262203.0
2019-05-28,22.44602394104004,25.040000915527344,26.613332748413086,24.959999084472656,26.133333206176758,777043.0
2019-05-29,22.56554412841797,25.17333221435547,25.440000534057617,24.85333251953125,25.1200008392334,493426.0
2019-05-30,22.6850643157959,25.306665420532227,25.38666534423828,25.01333236694336,25.1200008392334,282318.0
2019-06-02,22.6850643157959,25.306665420532227,25.38666534423828,25.01333236694336,25.1200008392334,282318.0
2019-06-03,22.6850643157959,25.306665420532227,25.38666534423828,25.01333236694336,25.1200008392334,282318.0
2019-06-04,22.6850643157959,25.306665420532227,25.306665420532227,25.306665420532227,25.306665420532227,0.0
2019-06-05,22.6850643157959,25.306665420532227,25.306665420532227,25.306665420532227,25.306665420532227,0.0
2019-06-06,22.6850643157959,25.306665420532227,25.306665420532227,25.306665420532227,25.306665420532227,0.0
2019-06-09,23.665136337280273,26.399999618530273,26.453332901000977,25.38666534423828,25.600000381469727,402161.0
2019-06-10,24.52569007873535,27.360000610351562,27.360000610351562,26.053333282470703,26.586666107177734,979036.0
2019-06-11,25.05158233642578,27.946666717529297,29.333332061767578,27.093332290649414,27.253332138061523,1646501.0
2019-06-12,25.003774642944336,27.893333435058594,28.53333282470703,27.68000030517578,27.946666717529297,553770.0
2019-06-13,24.716922760009766,27.573333740234375,28.799999237060547,27.253332138061523,27.573333740234375,1252350.0
2019-06-16,25.003774642944336,27.893333435058594,28.31999969482422,27.573333740234375,27.733333587646484,734784.0
2019-06-17,25.099390029907227,28.0,28.213333129882812,27.733333587646484,28.0,343537.0
2019-06-18,25.003774642944336,27.893333435058594,28.266666412353516,27.733333587646484,28.0,474892.0
2019-06-19,24.812538146972656,27.68000030517578,27.946666717529297,27.573333740234375,27.893333435058594,369003.0
2019-06-20,23.904176712036133,26.66666603088379,27.573333740234375,26.586666107177734,27.520000457763672,965848.0
2019-06-23,24.28664779663086,27.093332290649414,27.466665267944336,26.66666603088379,26.719999313354492,642005.0
2019-06-24,24.76473045349121,27.626665115356445,27.733333587646484,26.933332443237305,27.253332138061523,1002258.0
2019-06-25,25.338430404663086,28.266666412353516,28.479999542236328,27.68000030517578,27.68000030517578,1468623.0
2019-06-26,25.147197723388672,28.053333282470703,28.69333267211914,27.893333435058594,28.479999542236328,790590.0
2019-06-27,24.66911506652832,27.520000457763672,28.31999969482422,27.520000457763672,28.213333129882812,587255.0
2019-06-30,24.86034393310547,27.733333587646484,27.893333435058594,27.573333740234375,27.733333587646484,379882.0
2019-07-01,24.621305465698242,27.466665267944336,27.786666870117188,27.466665267944336,27.68000030517578,460260.0
2019-07-02,24.76473045349121,27.626665115356445,27.626665115356445,27.200000762939453,27.360000610351562,256301.0
2019-07-03,25.003774642944336,27.893333435058594,28.266666412353516,27.84000015258789,28.0,611268.0
2019-07-04,24.86034393310547,27.733333587646484,28.0,27.626665115356445,27.893333435058594,247970.0
2019-07-07,24.621305465698242,27.466665267944336,27.786666870117188,27.413333892822266,27.733333587646484,219568.0
2019-07-08,24.573497772216797,27.413333892822266,27.520000457763672,27.146665573120117,27.413333892822266,213810.0
