Date,Adj Close.153,Close.153,High.153,Low.153,Open.153,Volume.153
2018-07-01,,,,,,
2018-07-02,,,,,,
2018-07-03,,,,,,
2018-07-04,,,,,,
2018-07-05,,,,,,
2018-07-08,,,,,,
2018-07-09,,,,,,
2018-07-10,,,,,,
2018-07-11,,,,,,
2018-07-12,,,,,,
2018-07-15,,,,,,
2018-07-16,,,,,,
2018-07-17,,,,,,
2018-07-18,,,,,,
2018-07-19,,,,,,
2018-07-22,,,,,,
2018-07-23,,,,,,
2018-07-24,,,,,,
2018-07-25,,,,,,
2018-07-26,,,,,,
2018-07-29,,,,,,
2018-07-30,,,,,,
2018-07-31,,,,,,
2018-08-01,,,,,,
2018-08-02,,,,,,
2018-08-05,,,,,,
2018-08-06,,,,,,
2018-08-07,,,,,,
2018-08-08,,,,,,
2018-08-09,,,,,,
2018-08-12,,,,,,
2018-08-13,,,,,,
2018-08-14,,,,,,
2018-08-15,,,,,,
2018-08-16,,,,,,
2018-08-19,,,,,,
2018-08-20,,,,,,
2018-08-21,,,,,,
2018-08-22,,,,,,
2018-08-23,,,,,,
2018-08-26,,,,,,
2018-08-27,,,,,,
2018-08-28,,,,,,
2018-08-29,,,,,,
2018-08-30,,,,,,
2018-09-02,,,,,,
2018-09-03,,,,,,
2018-09-04,,,,,,
2018-09-05,,,,,,
2018-09-06,,,,,,
2018-09-09,,,,,,
2018-09-10,,,,,,
2018-09-11,,,,,,
2018-09-12,,,,,,
2018-09-13,,,,,,
2018-09-16,,,,,,
2018-09-17,,,,,,
2018-09-18,,,,,,
2018-09-19,,,,,,
2018-09-20,,,,,,
2018-09-23,,,,,,
2018-09-24,,,,,,
2018-09-25,,,,,,
2018-09-26,,,,,,
2018-09-27,,,,,,
2018-09-30,,,,,,
2018-10-01,,,,,,
2018-10-02,,,,,,
2018-10-03,,,,,,
2018-10-04,,,,,,
2018-10-07,,,,,,
2018-10-08,,,,,,
2018-10-09,,,,,,
2018-10-10,,,,,,
2018-10-11,,,,,,
2018-10-14,,,,,,
2018-10-15,,,,,,
2018-10-16,,,,,,
2018-10-17,,,,,,
2018-10-18,,,,,,
2018-10-21,,,,,,
2018-10-22,,,,,,
2018-10-23,,,,,,
2018-10-24,,,,,,
2018-10-25,,,,,,
2018-10-28,,,,,,
2018-10-29,,,,,,
2018-10-30,,,,,,
2018-10-31,,,,,,
2018-11-01,,,,,,
2018-11-04,,,,,,
2018-11-05,,,,,,
2018-11-06,,,,,,
2018-11-07,,,,,,
2018-11-08,,,,,,
2018-11-11,,,,,,
2018-11-12,,,,,,
2018-11-13,,,,,,
2018-11-14,,,,,,
2018-11-15,,,,,,
2018-11-18,,,,,,
2018-11-19,,,,,,
2018-11-20,,,,,,
2018-11-21,,,,,,
2018-11-22,,,,,,
2018-11-25,,,,,,
2018-11-26,,,,,,
2018-11-27,,,,,,
2018-11-28,,,,,,
2018-11-29,,,,,,
2018-12-02,,,,,,
2018-12-03,,,,,,
2018-12-04,,,,,,
2018-12-05,,,,,,
2018-12-06,,,,,,
2018-12-09,,,,,,
2018-12-10,,,,,,
2018-12-11,,,,,,
2018-12-12,,,,,,
2018-12-13,,,,,,
2018-12-16,,,,,,
2018-12-17,,,,,,
2018-12-18,,,,,,
2018-12-19,,,,,,
2018-12-20,,,,,,
2018-12-23,,,,,,
2018-12-24,,,,,,
2018-12-25,,,,,,
2018-12-26,,,,,,
2018-12-27,,,,,,
2018-12-30,,,,,,
2018-12-31,,,,,,
2019-01-01,,,,,,
2019-01-02,,,,,,
2019-01-03,,,,,,
2019-01-06,,,,,,
2019-01-07,,,,,,
2019-01-08,,,,,,
2019-01-09,,,,,,
2019-01-10,,,,,,
2019-01-13,,,,,,
2019-01-14,,,,,,
2019-01-15,,,,,,
2019-01-16,,,,,,
2019-01-17,,,,,,
2019-01-20,,,,,,
2019-01-21,,,,,,
2019-01-22,,,,,,
2019-01-23,,,,,,
2019-01-24,,,,,,
2019-01-27,,,,,,
2019-01-28,,,,,,
2019-01-29,,,,,,
2019-01-30,,,,,,
2019-01-31,,,,,,
2019-02-03,,,,,,
2019-02-04,,,,,,
2019-02-05,,,,,,
2019-02-06,,,,,,
2019-02-07,,,,,,
2019-02-10,,,,,,
2019-02-11,,,,,,
2019-02-12,,,,,,
2019-02-13,,,,,,
2019-02-14,,,,,,
2019-02-17,,,,,,
2019-02-18,,,,,,
2019-02-19,,,,,,
2019-02-20,,,,,,
2019-02-21,,,,,,
2019-02-24,,,,,,
2019-02-25,,,,,,
2019-02-26,,,,,,
2019-02-27,,,,,,
2019-02-28,,,,,,
2019-03-03,,,,,,
2019-03-04,,,,,,
2019-03-05,,,,,,
2019-03-06,,,,,,
2019-03-07,,,,,,
2019-03-10,,,,,,
2019-03-11,,,,,,
2019-03-12,,,,,,
2019-03-13,,,,,,
2019-03-14,,,,,,
2019-03-17,,,,,,
2019-03-18,,,,,,
2019-03-19,,,,,,
2019-03-20,,,,,,
2019-03-21,,,,,,
2019-03-24,,,,,,
2019-03-25,,,,,,
2019-03-26,,,,,,
2019-03-27,,,,,,
2019-03-28,,,,,,
2019-03-31,,,,,,
2019-04-01,,,,,,
2019-04-02,,,,,,
2019-04-03,,,,,,
2019-04-04,,,,,,
2019-04-07,,,,,,
2019-04-08,,,,,,
2019-04-09,,,,,,
2019-04-10,,,,,,
2019-04-11,,,,,,
2019-04-14,,,,,,
2019-04-15,,,,,,
2019-04-16,,,,,,
2019-04-17,,,,,,
2019-04-18,,,,,,
2019-04-21,,,,,,
2019-04-22,,,,,,
2019-04-23,,,,,,
2019-04-24,,,,,,
2019-04-25,,,,,,
2019-04-28,,,,,,
2019-04-29,,,,,,
2019-04-30,,,,,,
2019-05-01,,,,,,
2019-05-02,,,,,,
2019-05-05,,,,,,
2019-05-06,,,,,,
2019-05-07,,,,,,
2019-05-08,,,,,,
2019-05-09,,,,,,
2019-05-12,,,,,,
2019-05-13,,,,,,
2019-05-14,,,,,,
2019-05-15,,,,,,
2019-05-16,,,,,,
2019-05-19,,,,,,
2019-05-20,,,,,,
2019-05-21,,,,,,
2019-05-22,,,,,,
2019-05-23,,,,,,
2019-05-26,,,,,,
2019-05-27,,,,,,
2019-05-28,,,,,,
2019-05-29,,,,,,
2019-05-30,,,,,,
2019-06-02,,,,,,
2019-06-03,,,,,,
2019-06-04,,,,,,
2019-06-05,,,,,,
2019-06-06,,,,,,
2019-06-09,,,,,,
2019-06-10,,,,,,
2019-06-11,,,,,,
2019-06-12,,,,,,
2019-06-13,,,,,,
2019-06-16,,,,,,
2019-06-17,,,,,,
2019-06-18,,,,,,
2019-06-19,,,,,,
2019-06-20,,,,,,
2019-06-23,,,,,,
2019-06-24,,,,,,
2019-06-25,,,,,,
2019-06-26,,,,,,
2019-06-27,,,,,,
2019-06-30,,,,,,
2019-07-01,,,,,,
2019-07-02,,,,,,
2019-07-03,,,,,,
2019-07-04,,,,,,
2019-07-07,,,,,,
2019-07-08,,,,,,
2019-07-09,,,,,,
2019-07-10,,,,,,
2019-07-11,,,,,,
2019-07-14,,,,,,
2019-07-15,,,,,,
2019-07-16,,,,,,
2019-07-17,,,,,,
2019-07-18,,,,,,
2019-07-21,,,,,,
2019-07-22,,,,,,
2019-07-23,,,,,,
2019-07-24,,,,,,
2019-07-25,,,,,,
2019-07-28,,,,,,
2019-07-29,,,,,,
2019-07-30,,,,,,
2019-07-31,29.077882766723633,31.899999618530273,31.899999618530273,31.899999618530273,31.899999618530273,336939.0
2019-08-01,30.217300415039062,33.150001525878906,34.79999923706055,32.79999923706055,34.0,4010943.0
2019-08-04,30.217300415039062,33.150001525878906,34.0,32.95000076293945,33.0,1510952.0
2019-08-05,29.624799728393555,32.5,33.349998474121094,32.5,33.099998474121094,417230.0
2019-08-06,29.26018714904785,32.099998474121094,32.79999923706055,31.75,32.29999923706055,665402.0
2019-08-07,30.445178985595703,33.400001525878906,33.650001525878906,32.099998474121094,32.20000076293945,1293697.0
2019-08-08,30.171716690063477,33.099998474121094,33.900001525878906,32.95000076293945,33.5,572952.0
2019-08-11,30.171716690063477,33.099998474121094,33.099998474121094,33.099998474121094,33.099998474121094,0.0
2019-08-12,30.171716690063477,33.099998474121094,33.099998474121094,33.099998474121094,33.099998474121094,0.0
2019-08-13,30.171716690063477,33.099998474121094,33.099998474121094,33.099998474121094,33.099998474121094,0.0
2019-08-14,30.171716690063477,33.099998474121094,33.099998474121094,33.099998474121094,33.099998474121094,0.0
2019-08-15,30.171716690063477,33.099998474121094,33.099998474121094,33.099998474121094,33.099998474121094,0.0
2019-08-18,30.490758895874023,33.45000076293945,33.79999923706055,33.0,33.150001525878906,620529.0
2019-08-19,31.721323013305664,34.79999923706055,35.29999923706055,33.45000076293945,33.54999923706055,1998246.0
2019-08-20,31.90363311767578,35.0,35.70000076293945,34.5,35.0,1588854.0
2019-08-21,31.630172729492188,34.70000076293945,35.25,34.54999923706055,35.099998474121094,509183.0
2019-08-22,30.99209976196289,34.0,34.95000076293945,33.599998474121094,34.95000076293945,688971.0
2019-08-25,30.536333084106445,33.5,33.95000076293945,33.29999923706055,33.650001525878906,223781.0
2019-08-26,30.809791564941406,33.79999923706055,34.29999923706055,33.349998474121094,33.650001525878906,401302.0
2019-08-27,30.217300415039062,33.150001525878906,34.099998474121094,33.04999923706055,34.099998474121094,346120.0
2019-08-28,30.673063278198242,33.650001525878906,34.0,33.0,33.20000076293945,709538.0
2019-08-29,30.536333084106445,33.5,34.400001525878906,33.400001525878906,33.599998474121094,612298.0
2019-09-01,29.943838119506836,32.849998474121094,33.650001525878906,32.79999923706055,33.5,417252.0
2019-09-02,30.399600982666016,33.349998474121094,33.54999923706055,32.599998474121094,33.0,441024.0
2019-09-03,30.080568313598633,33.0,33.70000076293945,32.95000076293945,33.400001525878906,731376.0
2019-09-04,30.262874603271484,33.20000076293945,33.45000076293945,32.900001525878906,33.04999923706055,394115.0
2019-09-05,30.126142501831055,33.04999923706055,33.349998474121094,33.0,33.29999923706055,264707.0
2019-09-08,30.217300415039062,33.150001525878906,33.5,33.0,33.04999923706055,258218.0
2019-09-09,30.490758895874023,33.45000076293945,33.599998474121094,33.150001525878906,33.20000076293945,387967.0
2019-09-10,29.44249153137207,32.29999923706055,33.599998474121094,32.25,33.599998474121094,545095.0
2019-09-11,29.16903305053711,32.0,32.5,31.799999237060547,32.349998474121094,299031.0
2019-09-12,29.351343154907227,32.20000076293945,32.349998474121094,31.850000381469727,32.0,142008.0
2019-09-15,28.941150665283203,31.75,32.349998474121094,31.100000381469727,31.200000762939453,157363.0
2019-09-16,28.257503509521484,31.0,32.099998474121094,30.649999618530273,32.0,392991.0
2019-09-17,27.80173683166504,30.5,31.299999237060547,30.399999618530273,31.0,290744.0
2019-09-18,27.984045028686523,30.700000762939453,31.0,30.549999237060547,30.799999237060547,186972.0
2019-09-19,28.0751953125,30.799999237060547,31.5,30.649999618530273,30.649999618530273,264689.0
2019-09-22,28.530961990356445,31.299999237060547,31.5,30.950000762939453,30.950000762939453,244021.0
