Date,Adj Close.29,Close.29,High.29,Low.29,Open.29,Volume.29
2018-07-01,,,,,,
2018-07-02,,,,,,
2018-07-03,,,,,,
2018-07-04,,,,,,
2018-07-05,,,,,,
2018-07-08,,,,,,
2018-07-09,,,,,,
2018-07-10,,,,,,
2018-07-11,,,,,,
2018-07-12,,,,,,
2018-07-15,,,,,,
2018-07-16,,,,,,
2018-07-17,,,,,,
2018-07-18,,,,,,
2018-07-19,,,,,,
2018-07-22,,,,,,
2018-07-23,,,,,,
2018-07-24,,,,,,
2018-07-25,,,,,,
2018-07-26,,,,,,
2018-07-29,,,,,,
2018-07-30,,,,,,
2018-07-31,,,,,,
2018-08-01,,,,,,
2018-08-02,,,,,,
2018-08-05,,,,,,
2018-08-06,,,,,,
2018-08-07,,,,,,
2018-08-08,,,,,,
2018-08-09,,,,,,
2018-08-12,,,,,,
2018-08-13,,,,,,
2018-08-14,,,,,,
2018-08-15,,,,,,
2018-08-16,,,,,,
2018-08-19,,,,,,
2018-08-20,,,,,,
2018-08-21,,,,,,
2018-08-22,,,,,,
2018-08-23,,,,,,
2018-08-26,,,,,,
2018-08-27,,,,,,
2018-08-28,,,,,,
2018-08-29,,,,,,
2018-08-30,,,,,,
2018-09-02,,,,,,
2018-09-03,,,,,,
2018-09-04,,,,,,
2018-09-05,,,,,,
2018-09-06,,,,,,
2018-09-09,,,,,,
2018-09-10,46.185096740722656,51.0,54.5,50.20000076293945,54.0,1918555.0
2018-09-11,45.279518127441406,50.0,53.5,49.900001525878906,50.70000076293945,931497.0
2018-09-12,45.279518127441406,50.0,52.099998474121094,49.70000076293945,50.5,652157.0
2018-09-13,45.913421630859375,50.70000076293945,51.400001525878906,50.0,50.20000076293945,384111.0
2018-09-16,45.279518127441406,50.0,51.099998474121094,49.0,50.900001525878906,286693.0
2018-09-17,44.78144073486328,49.45000076293945,50.0,49.45000076293945,50.0,122563.0
2018-09-18,45.8228645324707,50.599998474121094,50.599998474121094,49.25,49.25,237313.0
2018-09-19,47.27180099487305,52.20000076293945,52.20000076293945,50.29999923706055,50.29999923706055,252069.0
2018-09-20,47.815162658691406,52.79999923706055,54.099998474121094,52.0,52.20000076293945,438319.0
2018-09-23,47.815162658691406,52.79999923706055,52.79999923706055,52.79999923706055,52.79999923706055,0.0
2018-09-24,47.815162658691406,52.79999923706055,54.099998474121094,52.0,52.20000076293945,438319.0
2018-09-25,48.72075653076172,53.79999923706055,54.0,52.099998474121094,53.0,446506.0
2018-09-26,48.811309814453125,53.900001525878906,54.0,52.599998474121094,53.5,390401.0
2018-09-27,48.358524322509766,53.400001525878906,54.099998474121094,53.29999923706055,53.70000076293945,235932.0
2018-09-30,48.44907760620117,53.5,53.599998474121094,52.900001525878906,53.599998474121094,133580.0
2018-10-01,48.44907760620117,53.5,54.0,53.0,53.0,66568.0
2018-10-02,47.181243896484375,52.099998474121094,53.099998474121094,52.099998474121094,53.099998474121094,131634.0
2018-10-03,47.00013732910156,51.900001525878906,52.79999923706055,51.900001525878906,51.900001525878906,197195.0
2018-10-04,46.09454345703125,50.900001525878906,52.0,50.900001525878906,51.900001525878906,183681.0
2018-10-07,45.913421630859375,50.70000076293945,51.400001525878906,50.5,51.29999923706055,157347.0
2018-10-08,44.73615264892578,49.400001525878906,50.099998474121094,48.20000076293945,50.099998474121094,277072.0
2018-10-09,45.007835388183594,49.70000076293945,50.0,48.849998474121094,49.400001525878906,140266.0
2018-10-10,45.18894958496094,49.900001525878906,51.29999923706055,49.400001525878906,49.400001525878906,112328.0
2018-10-11,42.562744140625,47.0,49.5,47.0,49.5,277413.0
2018-10-14,,,,,,
2018-10-15,40.0270881652832,44.20000076293945,44.5,41.75,42.79999923706055,554096.0
2018-10-16,39.121490478515625,43.20000076293945,45.70000076293945,41.900001525878906,42.0,327272.0
2018-10-17,40.29875946044922,44.5,44.849998474121094,43.099998474121094,43.599998474121094,207980.0
2018-10-18,40.615718841552734,44.849998474121094,45.0,44.0,44.599998474121094,186211.0
2018-10-21,39.845970153808594,44.0,44.29999923706055,41.0,41.0,154922.0
2018-10-22,39.166778564453125,43.25,44.0,43.150001525878906,44.0,64390.0
2018-10-23,41.11379623413086,45.400001525878906,45.400001525878906,43.0,43.0,153459.0
2018-10-24,43.7400016784668,48.29999923706055,49.5,45.5,45.5,256347.0
2018-10-25,46.185096740722656,51.0,51.0,48.5,48.5,324706.0
2018-10-28,46.09454345703125,50.900001525878906,53.0,50.29999923706055,53.0,289782.0
2018-10-29,46.00398254394531,50.79999923706055,51.900001525878906,50.70000076293945,51.0,114574.0
2018-10-30,46.00398254394531,50.79999923706055,51.5,50.599998474121094,50.599998474121094,41648.0
2018-10-31,46.63789749145508,51.5,52.5,50.900001525878906,50.900001525878906,520820.0
2018-11-01,46.00398254394531,50.79999923706055,51.599998474121094,50.5,51.5,155625.0
2018-11-04,46.890098571777344,50.79999923706055,51.5,49.099998474121094,49.099998474121094,80766.0
2018-11-05,46.890098571777344,50.79999923706055,51.400001525878906,50.70000076293945,51.099998474121094,49952.0
2018-11-06,46.52088928222656,50.400001525878906,51.0,49.599998474121094,50.599998474121094,121292.0
2018-11-07,46.52088928222656,50.400001525878906,50.400001525878906,49.75,50.0,32914.0
2018-11-08,47.905433654785156,51.900001525878906,52.20000076293945,50.20000076293945,50.20000076293945,671946.0
2018-11-11,47.99773406982422,52.0,53.29999923706055,50.599998474121094,51.900001525878906,572131.0
2018-11-12,48.736167907714844,52.79999923706055,52.900001525878906,51.599998474121094,52.0,283879.0
2018-11-13,49.01306915283203,53.099998474121094,53.29999923706055,52.0,52.0,311349.0
2018-11-14,49.65919876098633,53.79999923706055,53.79999923706055,52.0,52.5,596815.0
2018-11-15,50.48992919921875,54.70000076293945,55.20000076293945,54.0,54.0,839121.0
2018-11-18,49.84380340576172,54.0,55.20000076293945,52.70000076293945,54.79999923706055,341533.0
2018-11-19,51.412960052490234,55.70000076293945,56.70000076293945,54.400001525878906,55.0,1402746.0
2018-11-20,50.1207160949707,54.29999923706055,56.0,54.29999923706055,55.0,140471.0
2018-11-21,50.85913848876953,55.099998474121094,55.599998474121094,54.0,54.29999923706055,100061.0
2018-11-22,50.76683044433594,55.0,56.900001525878906,54.099998474121094,55.20000076293945,332410.0
2018-11-25,48.92076873779297,53.0,54.5,52.900001525878906,54.099998474121094,258309.0
2018-11-26,49.19767379760742,53.29999923706055,53.79999923706055,53.0,53.29999923706055,101604.0
2018-11-27,48.736167907714844,52.79999923706055,53.5,52.70000076293945,53.5,259841.0
2018-11-28,48.92076873779297,53.0,53.0,52.5,53.0,209440.0
2018-11-29,49.84380340576172,54.0,54.5,52.70000076293945,53.20000076293945,229715.0
2018-12-02,51.136043548583984,55.400001525878906,55.400001525878906,53.900001525878906,54.0,304035.0
2018-12-03,51.136043548583984,55.400001525878906,55.5,54.900001525878906,55.20000076293945,141355.0
2018-12-04,51.04374313354492,55.29999923706055,55.29999923706055,54.79999923706055,55.0,26143.0
2018-12-05,51.50526428222656,55.79999923706055,56.099998474121094,54.099998474121094,54.099998474121094,237594.0
2018-12-06,52.151390075683594,56.5,57.099998474121094,55.0,55.79999923706055,612050.0
2018-12-09,52.7052001953125,57.099998474121094,57.099998474121094,55.400001525878906,56.0,138229.0
2018-12-10,52.42829895019531,56.79999923706055,57.099998474121094,56.20000076293945,57.099998474121094,125178.0
2018-12-11,51.87447738647461,56.20000076293945,57.099998474121094,56.099998474121094,56.79999923706055,269307.0
2018-12-12,51.87447738647461,56.20000076293945,56.79999923706055,56.099998474121094,56.5,37287.0
2018-12-13,51.87447738647461,56.20000076293945,56.599998474121094,56.20000076293945,56.5,101128.0
2018-12-16,51.87447738647461,56.20000076293945,56.599998474121094,56.0,56.599998474121094,20727.0
2018-12-17,51.78216552734375,56.099998474121094,56.20000076293945,55.79999923706055,56.20000076293945,78244.0
2018-12-18,51.689876556396484,56.0,56.79999923706055,56.0,56.0,86831.0
2018-12-19,51.689876556396484,56.0,56.79999923706055,55.70000076293945,56.0,346715.0
2018-12-20,51.22835159301758,55.5,56.5,55.0,55.70000076293945,109467.0
2018-12-23,52.42829895019531,56.79999923706055,56.79999923706055,55.400001525878906,55.79999923706055,310205.0
2018-12-24,52.335994720458984,56.70000076293945,57.099998474121094,56.400001525878906,57.0,108343.0
2018-12-25,52.24368667602539,56.599998474121094,56.900001525878906,55.599998474121094,56.400001525878906,88373.0
2018-12-26,52.24368667602539,56.599998474121094,57.099998474121094,56.20000076293945,56.20000076293945,190453.0
2018-12-27,53.53593444824219,58.0,58.0,56.900001525878906,56.900001525878906,375212.0
2018-12-30,53.720550537109375,58.20000076293945,58.5,58.0,58.0,118813.0
2018-12-31,54.27436065673828,58.79999923706055,59.0,58.0,58.400001525878906,200486.0
2019-01-01,54.73587417602539,59.29999923706055,59.29999923706055,58.29999923706055,59.0,200413.0
2019-01-02,54.92048645019531,59.5,59.900001525878906,58.29999923706055,58.900001525878906,35985.0
2019-01-03,56.581939697265625,61.29999923706055,64.80000305175781,59.0,59.5,1004419.0
2019-01-06,56.02812957763672,60.70000076293945,62.900001525878906,60.70000076293945,61.79999923706055,157979.0
2019-01-07,56.489646911621094,61.20000076293945,61.70000076293945,60.400001525878906,61.0,91788.0
2019-01-08,55.56660842895508,60.20000076293945,61.400001525878906,60.20000076293945,61.20000076293945,80667.0
2019-01-09,55.197391510009766,59.79999923706055,60.5,59.599998474121094,60.400001525878906,39472.0
2019-01-10,58.335716247558594,63.20000076293945,64.4000015258789,59.400001525878906,59.79999923706055,410026.0
2019-01-13,57.13576889038086,61.900001525878906,64.30000305175781,61.900001525878906,63.599998474121094,196954.0
2019-01-14,57.5972900390625,62.400001525878906,62.599998474121094,60.79999923706055,61.0,145839.0
2019-01-15,57.04345703125,61.79999923706055,62.5,61.5,62.5,121139.0
2019-01-16,56.30503463745117,61.0,62.29999923706055,60.79999923706055,61.599998474121094,62308.0
2019-01-17,56.858856201171875,61.599998474121094,61.70000076293945,61.0,61.0,84459.0
2019-01-20,56.95115661621094,61.70000076293945,62.0,61.29999923706055,62.0,27604.0
2019-01-21,56.766544342041016,61.5,61.900001525878906,61.5,61.599998474121094,25284.0
2019-01-22,57.04345703125,61.79999923706055,61.900001525878906,61.400001525878906,61.79999923706055,48415.0
2019-01-23,57.22807693481445,62.0,62.900001525878906,61.5,61.900001525878906,85492.0
2019-01-24,57.22807693481445,62.0,62.29999923706055,61.5,61.79999923706055,68853.0
2019-01-27,57.22807693481445,62.0,62.599998474121094,62.0,62.099998474121094,76646.0
2019-01-28,57.504974365234375,62.29999923706055,62.70000076293945,62.0,62.20000076293945,96198.0
2019-01-29,56.766544342041016,61.5,62.29999923706055,61.400001525878906,62.29999923706055,51647.0
2019-01-30,56.30503463745117,61.0,61.79999923706055,60.29999923706055,61.5,42339.0
2019-01-31,56.674251556396484,61.400001525878906,62.0,60.70000076293945,61.79999923706055,26407.0
2019-02-03,56.120426177978516,60.79999923706055,61.0,60.79999923706055,61.0,24882.0
2019-02-04,55.93581771850586,60.599998474121094,61.5,60.5,61.400001525878906,56193.0
