Date,Adj Close.30,Close.30,High.30,Low.30,Open.30,Volume.30
2018-07-01,,,,,,
2018-07-02,,,,,,
2018-07-03,,,,,,
2018-07-04,,,,,,
2018-07-05,,,,,,
2018-07-08,,,,,,
2018-07-09,,,,,,
2018-07-10,,,,,,
2018-07-11,,,,,,
2018-07-12,,,,,,
2018-07-15,,,,,,
2018-07-16,,,,,,
2018-07-17,,,,,,
2018-07-18,,,,,,
2018-07-19,,,,,,
2018-07-22,,,,,,
2018-07-23,,,,,,
2018-07-24,,,,,,
2018-07-25,,,,,,
2018-07-26,,,,,,
2018-07-29,,,,,,
2018-07-30,,,,,,
2018-07-31,,,,,,
2018-08-01,,,,,,
2018-08-02,,,,,,
2018-08-05,,,,,,
2018-08-06,,,,,,
2018-08-07,,,,,,
2018-08-08,,,,,,
2018-08-09,,,,,,
2018-08-12,,,,,,
2018-08-13,,,,,,
2018-08-14,,,,,,
2018-08-15,,,,,,
2018-08-16,,,,,,
2018-08-19,,,,,,
2018-08-20,,,,,,
2018-08-21,,,,,,
2018-08-22,,,,,,
2018-08-23,,,,,,
2018-08-26,,,,,,
2018-08-27,,,,,,
2018-08-28,,,,,,
2018-08-29,,,,,,
2018-08-30,,,,,,
2018-09-02,,,,,,
2018-09-03,,,,,,
2018-09-04,,,,,,
2018-09-05,,,,,,
2018-09-06,,,,,,
2018-09-09,,,,,,
2018-09-10,,,,,,
2018-09-11,,,,,,
2018-09-12,,,,,,
2018-09-13,,,,,,
2018-09-16,,,,,,
2018-09-17,,,,,,
2018-09-18,,,,,,
2018-09-19,,,,,,
2018-09-20,,,,,,
2018-09-23,,,,,,
2018-09-24,,,,,,
2018-09-25,,,,,,
2018-09-26,,,,,,
2018-09-27,,,,,,
2018-09-30,,,,,,
2018-10-01,,,,,,
2018-10-02,,,,,,
2018-10-03,,,,,,
2018-10-04,,,,,,
2018-10-07,,,,,,
2018-10-08,,,,,,
2018-10-09,,,,,,
2018-10-10,,,,,,
2018-10-11,,,,,,
2018-10-14,,,,,,
2018-10-15,,,,,,
2018-10-16,,,,,,
2018-10-17,,,,,,
2018-10-18,,,,,,
2018-10-21,,,,,,
2018-10-22,,,,,,
2018-10-23,,,,,,
2018-10-24,,,,,,
2018-10-25,,,,,,
2018-10-28,,,,,,
2018-10-29,,,,,,
2018-10-30,,,,,,
2018-10-31,,,,,,
2018-11-01,,,,,,
2018-11-04,,,,,,
2018-11-05,,,,,,
2018-11-06,,,,,,
2018-11-07,,,,,,
2018-11-08,,,,,,
2018-11-11,,,,,,
2018-11-12,,,,,,
2018-11-13,,,,,,
2018-11-14,,,,,,
2018-11-15,,,,,,
2018-11-18,,,,,,
2018-11-19,,,,,,
2018-11-20,,,,,,
2018-11-21,,,,,,
2018-11-22,,,,,,
2018-11-25,,,,,,
2018-11-26,,,,,,
2018-11-27,,,,,,
2018-11-28,,,,,,
2018-11-29,,,,,,
2018-12-02,,,,,,
2018-12-03,,,,,,
2018-12-04,,,,,,
2018-12-05,,,,,,
2018-12-06,,,,,,
2018-12-09,,,,,,
2018-12-10,,,,,,
2018-12-11,,,,,,
2018-12-12,,,,,,
2018-12-13,,,,,,
2018-12-16,,,,,,
2018-12-17,,,,,,
2018-12-18,,,,,,
2018-12-19,,,,,,
2018-12-20,,,,,,
2018-12-23,,,,,,
2018-12-24,,,,,,
2018-12-25,,,,,,
2018-12-26,,,,,,
2018-12-27,,,,,,
2018-12-30,,,,,,
2018-12-31,,,,,,
2019-01-01,,,,,,
2019-01-02,,,,,,
2019-01-03,,,,,,
2019-01-06,,,,,,
2019-01-07,,,,,,
2019-01-08,,,,,,
2019-01-09,,,,,,
2019-01-10,,,,,,
2019-01-13,,,,,,
2019-01-14,,,,,,
2019-01-15,,,,,,
2019-01-16,,,,,,
2019-01-17,,,,,,
2019-01-20,,,,,,
2019-01-21,,,,,,
2019-01-22,,,,,,
2019-01-23,,,,,,
2019-01-24,,,,,,
2019-01-27,,,,,,
2019-01-28,,,,,,
2019-01-29,,,,,,
2019-01-30,,,,,,
2019-01-31,,,,,,
2019-02-03,,,,,,
2019-02-04,,,,,,
2019-02-05,,,,,,
2019-02-06,,,,,,
2019-02-07,,,,,,
2019-02-10,,,,,,
2019-02-11,,,,,,
2019-02-12,,,,,,
2019-02-13,,,,,,
2019-02-14,,,,,,
2019-02-17,,,,,,
2019-02-18,,,,,,
2019-02-19,,,,,,
2019-02-20,,,,,,
2019-02-21,,,,,,
2019-02-24,,,,,,
2019-02-25,,,,,,
2019-02-26,,,,,,
2019-02-27,,,,,,
2019-02-28,,,,,,
2019-03-03,,,,,,
2019-03-04,,,,,,
2019-03-05,,,,,,
2019-03-06,,,,,,
2019-03-07,,,,,,
2019-03-10,,,,,,
2019-03-11,,,,,,
2019-03-12,,,,,,
2019-03-13,,,,,,
2019-03-14,,,,,,
2019-03-17,,,,,,
2019-03-18,,,,,,
2019-03-19,,,,,,
2019-03-20,,,,,,
2019-03-21,,,,,,
2019-03-24,,,,,,
2019-03-25,,,,,,
2019-03-26,,,,,,
2019-03-27,,,,,,
2019-03-28,,,,,,
2019-03-31,,,,,,
2019-04-01,,,,,,
2019-04-02,,,,,,
2019-04-03,,,,,,
2019-04-04,,,,,,
2019-04-07,,,,,,
2019-04-08,,,,,,
2019-04-09,,,,,,
2019-04-10,,,,,,
2019-04-11,,,,,,
2019-04-14,,,,,,
2019-04-15,,,,,,
2019-04-16,,,,,,
2019-04-17,,,,,,
2019-04-18,,,,,,
2019-04-21,,,,,,
2019-04-22,,,,,,
2019-04-23,,,,,,
2019-04-24,,,,,,
2019-04-25,,,,,,
2019-04-28,,,,,,
2019-04-29,,,,,,
2019-04-30,,,,,,
2019-05-01,,,,,,
2019-05-02,,,,,,
2019-05-05,,,,,,
2019-05-06,,,,,,
2019-05-07,,,,,,
2019-05-08,,,,,,
2019-05-09,,,,,,
2019-05-12,,,,,,
2019-05-13,,,,,,
2019-05-14,,,,,,
2019-05-15,,,,,,
2019-05-16,,,,,,
2019-05-19,,,,,,
2019-05-20,,,,,,
2019-05-21,,,,,,
2019-05-22,,,,,,
2019-05-23,,,,,,
2019-05-26,,,,,,
2019-05-27,,,,,,
2019-05-28,,,,,,
2019-05-29,,,,,,
2019-05-30,,,,,,
2019-06-02,,,,,,
2019-06-03,,,,,,
2019-06-04,,,,,,
2019-06-05,,,,,,
2019-06-06,,,,,,
2019-06-09,,,,,,
2019-06-10,,,,,,
2019-06-11,,,,,,
2019-06-12,,,,,,
2019-06-13,,,,,,
2019-06-16,,,,,,
2019-06-17,,,,,,
2019-06-18,,,,,,
2019-06-19,53.25544357299805,69.5,69.5,69.16666412353516,69.5,2720636.0
2019-06-20,53.00001907348633,69.16666412353516,71.66666412353516,67.5,69.58333587646484,4195870.0
2019-06-23,53.191585540771484,69.41666412353516,70.0,68.25,69.25,729534.0
2019-06-24,57.916893005371094,75.58333587646484,76.25,70.08333587646484,70.08333587646484,2137929.0
2019-06-25,55.809669494628906,72.83333587646484,76.66666412353516,72.33333587646484,75.91666412353516,1153132.0
2019-06-26,55.93737030029297,73.0,74.91666412353516,72.5,73.16666412353516,589086.0
2019-06-27,56.19279861450195,73.33333587646484,74.5,72.66666412353516,73.41666412353516,457413.0
2019-06-30,55.55423355102539,72.5,74.16666412353516,72.41666412353516,73.41666412353516,253959.0
2019-07-01,54.7879753112793,71.5,72.5,71.33333587646484,72.5,455343.0
2019-07-02,54.85183334350586,71.58333587646484,72.83333587646484,71.33333587646484,71.66666412353516,513283.0
2019-07-03,54.85183334350586,71.58333587646484,71.91666412353516,71.25,71.58333587646484,173174.0
2019-07-04,56.19279861450195,73.33333587646484,73.41666412353516,71.33333587646484,71.58333587646484,425389.0
2019-07-07,56.128936767578125,73.25,74.75,72.91666412353516,73.75,330421.0
2019-07-08,56.448211669921875,73.66666412353516,73.91666412353516,73.25,73.33333587646484,164641.0
2019-07-09,59.768707275390625,78.0,80.33333587646484,73.5,73.75,1105711.0
2019-07-10,59.25786590576172,77.33333587646484,78.83333587646484,76.66666412353516,78.08333587646484,476234.0
2019-07-11,59.57712936401367,77.75,80.16666412353516,76.83333587646484,77.33333587646484,525734.0
2019-07-14,60.21569061279297,78.58333587646484,79.91666412353516,77.91666412353516,78.33333587646484,426730.0
2019-07-15,59.89640426635742,78.16666412353516,79.0,78.16666412353516,78.58333587646484,270267.0
2019-07-16,62.83375930786133,82.0,83.33333587646484,78.08333587646484,78.16666412353516,719666.0
2019-07-17,62.25906753540039,81.25,82.66666412353516,80.5,82.33333587646484,460087.0
2019-07-18,62.51448440551758,81.58333587646484,84.16666412353516,80.91666412353516,81.33333587646484,643215.0
2019-07-21,62.51448440551758,81.58333587646484,84.66666412353516,80.91666412353516,81.58333587646484,869043.0
2019-07-22,63.727745056152344,83.16666412353516,84.0,81.83333587646484,81.83333587646484,524966.0
2019-07-23,64.62171936035156,84.33333587646484,86.16666412353516,82.91666412353516,83.5,590544.0
2019-07-24,62.32291793823242,81.33333587646484,85.33333587646484,80.91666412353516,84.5,583045.0
2019-07-25,62.76990509033203,81.91666412353516,82.25,80.0,81.16666412353516,274923.0
2019-07-28,62.83375930786133,82.0,82.75,81.66666412353516,81.66666412353516,187831.0
2019-07-29,62.706058502197266,81.83333587646484,82.41666412353516,81.16666412353516,82.0,127944.0
2019-07-30,63.8554573059082,83.33333587646484,84.83333587646484,81.25,81.66666412353516,343734.0
2019-07-31,66.15425109863281,86.33333587646484,90.83333587646484,85.66666412353516,86.66666412353516,1772421.0
2019-08-01,65.64339447021484,85.66666412353516,87.5,84.83333587646484,86.5,336771.0
2019-08-04,65.7711181640625,85.83333587646484,87.5,84.16666412353516,85.16666412353516,200575.0
2019-08-05,65.64339447021484,85.66666412353516,86.83333587646484,85.5,85.83333587646484,184317.0
2019-08-06,65.7711181640625,85.83333587646484,86.66666412353516,84.16666412353516,84.66666412353516,157666.0
2019-08-07,66.53738403320312,86.83333587646484,88.33333587646484,85.83333587646484,85.83333587646484,344926.0
2019-08-08,65.7711181640625,85.83333587646484,87.5,85.66666412353516,87.16666412353516,241791.0
2019-08-11,65.7711181640625,85.83333587646484,85.83333587646484,85.83333587646484,85.83333587646484,0.0
2019-08-12,65.7711181640625,85.83333587646484,85.83333587646484,85.83333587646484,85.83333587646484,0.0
2019-08-13,65.7711181640625,85.83333587646484,85.83333587646484,85.83333587646484,85.83333587646484,0.0
2019-08-14,65.7711181640625,85.83333587646484,85.83333587646484,85.83333587646484,85.83333587646484,0.0
2019-08-15,65.7711181640625,85.83333587646484,85.83333587646484,85.83333587646484,85.83333587646484,0.0
2019-08-18,66.40966796875,86.66666412353516,87.5,86.0,86.16666412353516,114752.0
2019-08-19,67.55906677246094,88.16666412353516,88.83333587646484,86.66666412353516,87.16666412353516,283846.0
2019-08-20,67.43135833740234,88.0,88.66666412353516,87.16666412353516,87.66666412353516,253003.0
2019-08-21,66.40966796875,86.66666412353516,87.83333587646484,86.5,87.83333587646484,199785.0
2019-08-22,65.7711181640625,85.83333587646484,87.16666412353516,85.5,86.66666412353516,123938.0
