Date,Adj Close.172,Close.172,High.172,Low.172,Open.172,Volume.172
2018-07-01,,,,,,
2018-07-02,,,,,,
2018-07-03,,,,,,
2018-07-04,,,,,,
2018-07-05,,,,,,
2018-07-08,,,,,,
2018-07-09,,,,,,
2018-07-10,,,,,,
2018-07-11,,,,,,
2018-07-12,,,,,,
2018-07-15,,,,,,
2018-07-16,,,,,,
2018-07-17,,,,,,
2018-07-18,,,,,,
2018-07-19,,,,,,
2018-07-22,,,,,,
2018-07-23,,,,,,
2018-07-24,,,,,,
2018-07-25,,,,,,
2018-07-26,,,,,,
2018-07-29,,,,,,
2018-07-30,,,,,,
2018-07-31,,,,,,
2018-08-01,,,,,,
2018-08-02,,,,,,
2018-08-05,,,,,,
2018-08-06,7.16404390335083,9.149999618530273,10.0,9.149999618530273,9.350000381469727,151252.0
2018-08-07,6.929158687591553,8.850000381469727,9.100000381469727,8.850000381469727,9.100000381469727,87844.0
2018-08-08,6.929158687591553,8.850000381469727,8.859999656677246,8.75,8.75,58335.0
2018-08-09,6.929158687591553,8.850000381469727,8.850000381469727,8.850000381469727,8.850000381469727,21338.0
2018-08-12,6.929158687591553,8.850000381469727,8.850000381469727,8.850000381469727,8.850000381469727,48945.0
2018-08-13,7.117067337036133,9.09000015258789,9.09000015258789,8.880000114440918,8.899999618530273,55973.0
2018-08-14,7.21102237701416,9.210000038146973,9.210000038146973,8.899999618530273,8.899999618530273,48526.0
2018-08-15,7.203193187713623,9.199999809265137,9.199999809265137,8.850000381469727,9.0600004196167,56639.0
2018-08-16,6.929158687591553,8.850000381469727,8.850000381469727,8.850000381469727,8.850000381469727,21498.0
2018-08-19,6.929158687591553,8.850000381469727,8.850000381469727,8.850000381469727,8.850000381469727,21498.0
2018-08-20,6.929158687591553,8.850000381469727,8.850000381469727,8.850000381469727,8.850000381469727,0.0
2018-08-21,6.929158687591553,8.850000381469727,8.850000381469727,8.850000381469727,8.850000381469727,0.0
2018-08-22,6.929158687591553,8.850000381469727,8.850000381469727,8.850000381469727,8.850000381469727,0.0
2018-08-23,6.929158687591553,8.850000381469727,8.850000381469727,8.850000381469727,8.850000381469727,0.0
2018-08-26,6.976134777069092,8.90999984741211,8.90999984741211,8.90999984741211,8.90999984741211,14455.0
2018-08-27,6.976134777069092,8.90999984741211,8.90999984741211,8.90999984741211,8.90999984741211,9854.0
2018-08-28,7.046600341796875,9.0,9.0,9.0,9.0,18515.0
2018-08-29,7.038771152496338,8.989999771118164,8.989999771118164,8.989999771118164,8.989999771118164,17156.0
2018-08-30,7.038771152496338,8.989999771118164,8.989999771118164,8.989999771118164,8.989999771118164,16169.0
2018-09-02,6.9683051109313965,8.899999618530273,9.0,8.899999618530273,9.0,24277.0
2018-09-03,7.16404390335083,9.149999618530273,9.149999618530273,9.149999618530273,9.149999618530273,15488.0
2018-09-04,7.16404390335083,9.149999618530273,9.149999618530273,9.149999618530273,9.149999618530273,8548.0
2018-09-05,7.077919006347656,9.039999961853027,9.100000381469727,9.039999961853027,9.100000381469727,32143.0
2018-09-06,7.077919006347656,9.039999961853027,9.039999961853027,9.039999961853027,9.039999961853027,7948.0
2018-09-09,7.203193187713623,9.199999809265137,9.199999809265137,9.199999809265137,9.199999809265137,20043.0
2018-09-10,7.27365779876709,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,11905.0
2018-09-11,7.27365779876709,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,4752.0
2018-09-12,7.27365779876709,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,8709.0
2018-09-13,7.27365779876709,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,7132.0
2018-09-16,7.438079833984375,9.5,9.5,9.430000305175781,9.430000305175781,34884.0
2018-09-17,7.438079833984375,9.5,9.5,9.5,9.5,8350.0
2018-09-18,7.438079833984375,9.5,9.5,9.5,9.5,3915.0
2018-09-19,7.438079833984375,9.5,9.5,9.5,9.5,7126.0
2018-09-20,7.438079833984375,9.5,9.5,9.5,9.5,7280.0
2018-09-23,7.438079833984375,9.5,9.5,9.5,9.5,0.0
2018-09-24,7.438079833984375,9.5,9.5,9.5,9.5,7280.0
2018-09-25,7.438079833984375,9.5,9.5,9.5,9.5,7179.0
2018-09-26,7.438079833984375,9.5,9.5,9.5,9.5,8078.0
2018-09-27,7.438079833984375,9.5,9.5,9.5,9.5,9247.0
2018-09-30,7.101408004760742,9.069999694824219,9.199999809265137,9.029999732971191,9.029999732971191,36450.0
2018-10-01,7.101408004760742,9.069999694824219,9.069999694824219,9.069999694824219,9.069999694824219,10023.0
2018-10-02,7.12489652633667,9.100000381469727,9.100000381469727,9.100000381469727,9.100000381469727,12315.0
2018-10-03,7.12489652633667,9.100000381469727,9.100000381469727,9.100000381469727,9.100000381469727,7604.0
2018-10-04,7.12489652633667,9.100000381469727,9.100000381469727,9.100000381469727,9.100000381469727,4860.0
2018-10-07,7.12489652633667,9.100000381469727,9.100000381469727,9.100000381469727,9.100000381469727,6046.0
2018-10-08,7.070089340209961,9.029999732971191,9.029999732971191,9.029999732971191,9.029999732971191,10464.0
2018-10-09,7.070089340209961,9.029999732971191,9.029999732971191,9.029999732971191,9.029999732971191,6868.0
2018-10-10,7.070089340209961,9.029999732971191,9.029999732971191,9.029999732971191,9.029999732971191,3199.0
2018-10-11,7.070089340209961,9.029999732971191,9.029999732971191,9.029999732971191,9.029999732971191,10199.0
2018-10-14,,,,,,
2018-10-15,6.725589275360107,8.59000015258789,8.59000015258789,8.59000015258789,8.59000015258789,8153.0
2018-10-16,6.702101230621338,8.5600004196167,8.5600004196167,8.5600004196167,8.5600004196167,11951.0
2018-10-17,6.702101230621338,8.5600004196167,8.5600004196167,8.5600004196167,8.5600004196167,3672.0
2018-10-18,6.929158687591553,8.850000381469727,8.850000381469727,8.539999961853027,8.539999961853027,12697.0
2018-10-21,6.803884983062744,8.6899995803833,8.6899995803833,8.6899995803833,8.6899995803833,9605.0
2018-10-22,6.803884983062744,8.6899995803833,8.6899995803833,8.6899995803833,8.6899995803833,1785.0
2018-10-23,6.803884983062744,8.6899995803833,8.6899995803833,8.6899995803833,8.6899995803833,4579.0
2018-10-24,6.9683051109313965,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,4387.0
2018-10-25,6.9683051109313965,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,7697.0
2018-10-28,6.772565841674805,8.649999618530273,8.649999618530273,8.600000381469727,8.600000381469727,20494.0
2018-10-29,7.01528263092041,8.960000038146973,8.960000038146973,8.960000038146973,8.960000038146973,7329.0
2018-10-30,6.811714172363281,8.699999809265137,8.899999618530273,8.699999809265137,8.899999618530273,25274.0
2018-10-31,6.811714172363281,8.699999809265137,8.699999809265137,8.699999809265137,8.699999809265137,7686.0
2018-11-01,6.811714172363281,8.699999809265137,8.699999809265137,8.699999809265137,8.699999809265137,1967.0
2018-11-04,6.850862503051758,8.75,8.75,8.75,8.75,8330.0
2018-11-05,7.351953983306885,9.390000343322754,9.550000190734863,9.09000015258789,9.539999961853027,152907.0
2018-11-06,7.16404390335083,9.149999618530273,9.300000190734863,9.100000381469727,9.300000190734863,20671.0
2018-11-07,7.16404390335083,9.149999618530273,9.149999618530273,9.149999618530273,9.149999618530273,3199.0
2018-11-08,6.866521835327148,8.770000457763672,8.770000457763672,8.720000267028809,8.729999542236328,46239.0
2018-11-11,7.023112773895264,8.970000267028809,8.970000267028809,8.970000267028809,8.970000267028809,6917.0
2018-11-12,6.952646732330322,8.880000114440918,8.880000114440918,8.880000114440918,8.880000114440918,7120.0
2018-11-13,7.01528263092041,8.960000038146973,8.960000038146973,8.960000038146973,8.960000038146973,8364.0
2018-11-14,7.01528263092041,8.960000038146973,8.960000038146973,8.960000038146973,8.960000038146973,5583.0
2018-11-15,6.733419418334961,8.600000381469727,9.050000190734863,8.600000381469727,9.050000190734863,15695.0
2018-11-18,6.733419418334961,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,3285.0
2018-11-19,6.733419418334961,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,1922.0
2018-11-20,6.733419418334961,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,1656.0
2018-11-21,6.733419418334961,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,2945.0
2018-11-22,6.733419418334961,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,1120.0
2018-11-25,6.733419418334961,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,2530.0
2018-11-26,6.733419418334961,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,3285.0
2018-11-27,6.741248607635498,8.609999656677246,8.609999656677246,8.609999656677246,8.609999656677246,8738.0
2018-11-28,6.741248607635498,8.609999656677246,8.609999656677246,8.609999656677246,8.609999656677246,3666.0
2018-11-29,6.741248607635498,8.609999656677246,8.609999656677246,8.609999656677246,8.609999656677246,5844.0
2018-12-02,7.414590835571289,9.470000267028809,9.470000267028809,8.859999656677246,8.859999656677246,37443.0
2018-12-03,7.12489652633667,9.100000381469727,10.399999618530273,9.020000457763672,10.0,1117059.0
2018-12-04,7.038771152496338,8.989999771118164,9.600000381469727,8.850000381469727,9.149999618530273,614421.0
2018-12-05,6.811714172363281,8.699999809265137,9.0,8.670000076293945,8.800000190734863,536798.0
2018-12-06,7.01528263092041,8.960000038146973,8.960000038146973,8.630000114440918,8.779999732971191,349697.0
2018-12-09,6.858692169189453,8.760000228881836,8.949999809265137,8.710000038146973,8.949999809265137,115042.0
2018-12-10,6.780396461486816,8.65999984741211,8.859999656677246,8.600000381469727,8.829999923706055,625946.0
2018-12-11,6.733419418334961,8.600000381469727,8.800000190734863,8.600000381469727,8.699999809265137,201865.0
2018-12-12,6.6159749031066895,8.449999809265137,8.600000381469727,8.4399995803833,8.569999694824219,404284.0
2018-12-13,6.662952899932861,8.510000228881836,8.960000038146973,8.449999809265137,8.489999771118164,518885.0
2018-12-16,6.670782566070557,8.520000457763672,8.65999984741211,8.479999542236328,8.520000457763672,161298.0
2018-12-17,6.639463424682617,8.479999542236328,8.539999961853027,8.470000267028809,8.529999732971191,79359.0
2018-12-18,6.796055793762207,8.680000305175781,8.739999771118164,8.4399995803833,8.4399995803833,238615.0
2018-12-19,6.686441898345947,8.539999961853027,8.600000381469727,8.520000457763672,8.600000381469727,66089.0
2018-12-20,6.843031883239746,8.739999771118164,8.739999771118164,8.460000038146973,8.529999732971191,125384.0
2018-12-23,6.772565841674805,8.649999618530273,8.649999618530273,8.520000457763672,8.5600004196167,59785.0
2018-12-24,6.694271087646484,8.550000190734863,8.6899995803833,8.550000190734863,8.550000190734863,114767.0
2018-12-25,6.662952899932861,8.510000228881836,8.600000381469727,8.510000228881836,8.550000190734863,27631.0
2018-12-26,6.725589275360107,8.59000015258789,8.59000015258789,8.5600004196167,8.5600004196167,3194186.0
2018-12-27,6.694271087646484,8.550000190734863,8.59000015258789,8.550000190734863,8.59000015258789,26781.0
2018-12-30,6.67861270904541,8.529999732971191,8.579999923706055,8.5,8.550000190734863,134694.0
